flattened_destination,inbound_rules,example_sources,target
/account-hub/docs/apple-ads-and-ad-attribution-kit,2,/docs/apple-ads-and-ad-attribution-kit | /v1/docs/apple-ads-and-ad-attribution-kit,
/account-hub/docs/get-started-account-hub,2,/docs/getting-started | /v1/docs/getting-started,
/marketer-hub/docs/branch-links,2,/docs/create-branch-links | /v1/docs/create-branch-links,
/marketer-hub/docs/digital-turbine,2,/partners-portal/docs/digital-turbine | /using-branch/docs/digital-turbine,
/docs/self-serve-gating,2,/docs/self-serve-gating  [LIVE: in sitemap] | /using-branch/docs/self-serve-gating,
/docs/updated-short-link-expiration-window,2,/docs/updated-short-link-expiration-window  [LIVE: in sitemap] | /using-branch/docs/updated-short-link-expiration-window,
/apidocs/data-subject-request-api-overview,2,/apidocs/data-subject-request-api-overview  [LIVE: in sitemap] | /data-subject-request-branch-api,
/docs/verify-links-index,2,/docs/verify-links | /v1/docs/verify-links,
/account-hub/docs/updated-short-link-expiration-window,2,/docs/update-to-short-link-expiration-window | /v1/docs/update-to-short-link-expiration-window,
/account-hub/docs/self-serve-gating,2,/docs/self-serve-update | /v1/docs/self-serve-update,
/docs/quick-links-index,2,/docs/quick-links | /v1/docs/quick-links,
/docs/october-2025,2,/docs/october-1 | /v1/docs/october-1,
/docs/may-2025,2,/docs/may-1 | /v1/docs/may-1,
/docs/march-2025,2,/docs/march-1 | /v1/docs/march-1,
/marketer-hub/docs/manage-links-index,2,/docs/manage-links | /v1/docs/manage-links,
/docs/june-2025,2,/docs/june-2 | /v1/docs/june-2,
/account-hub/docs/journeys-html-editor-creatives-optimization-content-overhaul,2,/docs/journeys-html-editor-content-overhaul | /v1/docs/journeys-html-editor-content-overhaul,
/docs/january-2025,2,/docs/january | /v1/docs/january,
/docs/ios-14-faqs,2,/docs/ios-14-faqs-1 | /v1/docs/ios-14-faqs-1,
/account-hub/docs/investigating-branch-deepviews-optimizations,2,/docs/investigating-branch-deepviews-optimization | /v1/docs/investigating-branch-deepviews-optimization,
/account-hub/docs/improved-summary-page,2,/docs/summary-page-improvements | /v1/docs/summary-page-improvements,
/account-hub/docs/improved-self-service-invoicing-processing,2,/docs/improved-self-service-invoice-processing | /v1/docs/improved-self-service-invoice-processing,
/account-hub/docs/facebook-mai-support,2,/docs/metafacebook-mai-support | /v1/docs/metafacebook-mai-support,
/account-hub/docs/eu-hosted-data-for-new-enterprise-customers,2,/docs/eu-hosted-data | /v1/docs/eu-hosted-data,
/docs/enable-skadnetwork-natively,2,/docs/enable-skadnetwork-via-native-framework | /v1/docs/enable-skadnetwork-via-native-framework,
/docs/deep-links-index,2,/docs/deep-links | /v1/docs/deep-links,
/account-hub/docs/cross-events-exports-api,2,/docs/cross-events-export-api | /v1/docs/cross-events-export-api,
/docs/create-branch-links-index,2,/docs/create-branch-links-1 | /v1/docs/create-branch-links-1,
/account-hub/docs/cost-data-for-non-sans-beta,2,/docs/cost-data-integration-for-non-sans-beta | /v1/docs/cost-data-integration-for-non-sans-beta,
/docs/configure-link-behaviors-index,2,/docs/configure-default-link-behaviors-index | /v1/docs/configure-default-link-behaviors-index,
/docs/april-2025,2,/docs/april-1 | /v1/docs/april-1,
/docs/ad-partners-list,2,/docs/ads-partners-1 | /v1/docs/ads-partners-1,
/marketer-hub/docs/marketer-deep-link-reference,2,/docs/marketer-deep-link-reference | /v1/docs/marketer-deep-link-reference,
/marketer-hub/docs/flashtalking-1,2,/docs/flashtalking-1 | /v1/docs/flashtalking-1,
/marketer-hub/docs/find-created-links,2,/docs/find-created-links | /v1/docs/find-created-links,
/marketer-hub/docs/creating-links-with-ivy,2,/docs/creating-links-with-ivy | /v1/docs/creating-links-with-ivy,
/marketer-hub/docs/complying-with-apples-policy-faq,2,/docs/complying-with-apples-policy-faq | /v1/docs/complying-with-apples-policy-faq,
/marketer-hub/docs/branch-defend,2,/docs/branch-defend | /v1/docs/branch-defend,
/developer-hub/reference/scheduled-log-exports-api,2,/developers-hub/docs/scheduled-log-exports-api-reference | /developers-hub/reference/schedule-log-exports-api,
/developer-hub/reference/deep-linking-api,2,/developers-hub/docs/deep-linking-api-1 | /developers-hub/reference/deep-linking-api-1,
/developer-hub/reference/apis-overview,2,/developers-hub/docs/overview | /reference,
/developer-hub/docs/branch-university-shortcuts,1,/developer-hub/docs/branch-university-test,
/docs/manage-users-permissions,1,/marketer-hub/docs/manage-users-permissions,
