source,flattened_destination,reason
/faq/docs/why-is-there-an-additional-safelink-redirect-on-top-of-my-click-tracking-domain,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/for-app-to-app-deep-linking-how-can-apple-know-the-difference-between-an-organic-post-and-a-paid-link,/complying-with-apples-policy-faq,destination slug not found in new site
/google-ads-skadnetwork-4-support,/support-for-google-ads-skadnetwork-4,destination slug not found in new site
/how-are-boosted-organic-links-treated-are-they-subject-to-the-att-prompt,/complying-with-apples-policy-faq,destination slug not found in new site
/how-do-i-answer-the-app-store-connect-privacy-questions-nutrition-labels,/complying-with-apples-policy-faq,destination slug not found in new site
/how-do-we-configure-a-non-ads-link-to-use-branchs-att-compliant-behavior,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/how-do-we-handle-gdpr-compliance-without-idfas-to-request-data-deletion,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/how-do-we-track-att-opt-inopt-out-events-with-branch,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/how-is-branchs-predictive-modeling-different-from-what-other-mmps-offer,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/how-will-branch-determine-whether-or-not-the-user-has-opted-into-att,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/how-will-ios-14-affect-our-mau-count-on-branch,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/if-the-user-doesnt-opt-in-via-att-is-it-still-possible-to-show-an-install-came-from-paid-advertising-without-any-additional-detail,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/ios-browsers-are-technically-apps-whats-stopping-ios-browsers-like-chrome-from-showing-the-att-prompt,/complying-with-apples-policy-faq,destination slug not found in new site
/is-att-opt-in-required-for-skadnetwork,/complying-with-apples-policy-faq,destination slug not found in new site
/is-branchs-san-deferred-deep-linking-product-impacted,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/is-it-a-violation-of-apples-policy-to-use-the-branch-sdk-without-att-opt-in,/complying-with-apples-policy-faq,destination slug not found in new site
/is-tracking-web-to-app-ad-conversions-such-as-affiliate-networks-still-allowed,/complying-with-apples-policy-faq,destination slug not found in new site
/kr,/ko,destination slug not found in new site
/marketer-hub/docs/analysis-dashboards,/marketer-hub/docs/analysis-dashboards-new,destination slug not found in new site
/marketer-hub/docs/analysis-index,/marketer-hub/docs/analysis-new,destination slug not found in new site
/marketer-hub/docs/app-links,/marketer-hub/docs/short-links,destination slug not found in new site
/marketer-hub/docs/attribution-methodology,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/marketer-hub/docs/branch-methodology-index,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/marketer-hub/docs/branch-methodology-overview,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/marketer-hub/docs/dashboards,/marketer-hub/docs/analysis-dashboards-new,destination slug not found in new site
/marketer-hub/docs/data-feeds,/marketer-hub/docs/advanced-data-feeds,destination slug not found in new site
/marketer-hub/docs/links-overview,/marketer-hub/docs/create-branch-links-index,destination slug not found in new site
/marketer-hub/docs/manage-users-permissions,/docs/manage-users-permissions,destination slug not found in new site
/marketer-hub/docs/multi-touch-attribution,/marketer-hub/docs/funnel-attribution,destination slug not found in new site
/marketer-hub/docs/universal-ads-reporting,/marketer-hub/docs/ads-reporting,destination slug not found in new site
/non-sans,/marketer-hub/docs/non-sans,destination slug not found in new site
/once-branch-gets-an-idfa-can-it-be-backfilledconnected-to-that-users-previous-activity-before-idfa-opt-in,/branch-ios-14-product-details-general-faq,destination slug not found in new site
