Article title,Category title,Article status,Date,portal URLs,site URLs
Create QR Code,QR Code API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/729becfa-26e1-44d2-b691-53a829d7d0cc/en,https://help.branch.io/v1-api/docs/en/createqrcode,
Hidden Metadata,QR Code API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/c94e30eb-4e8a-4694-86ae-02a561d607d8/en,https://help.branch.io/v1-api/docs/en/qr-code-api-hidden-metadata,
Hidden Metadata,Deep Linking API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/5958a8d5-b8d0-4221-b2c1-6fbf4a09e218/en,https://help.branch.io/v1-api/docs/en/deep-linking-api-hidden-metadata,
Hidden Metadata,Daily Exports API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/97d056f9-4e16-42e8-92d6-e07c00e6035f/en,https://help.branch.io/v1-api/docs/en/daily-exports-api-hidden-metadata,
Hidden Metadata,Custom Exports API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/2457adce-12f6-408d-919f-68ca9c5cf13d/en,https://help.branch.io/v1-api/docs/en/custom-exports-api-hidden-metadata,
Hidden Metadata,Cross-Events Export API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/dd21c5cb-c40d-446d-ba2f-77a746d14434/en,https://help.branch.io/v1-api/docs/en/cross-events-export-api-hidden-metadata,
Hidden Metadata,Aggregate API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/3c27188c-6740-4261-9dad-6bc61fc7a663/en,https://help.branch.io/v1-api/docs/en/aggregate-api-hidden-metadata,
Hidden Metadata,App API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/5a04c2cd-1092-42e0-ba41-4127ad06be4d/en,https://help.branch.io/v1-api/docs/en/app-api-hidden-metadata,
Hidden Metadata,Cohort API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/eb04840e-acb7-444a-83e2-751a49285bbf/en,https://help.branch.io/v1-api/docs/en/cohort-api-hidden-metadata,
Hidden Metadata,Attribution API,published,25 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/84e868bd-7871-4fb0-8824-517b57df975a/en,https://help.branch.io/v1-api/docs/en/attribution-api-hidden-metadata,
Update Branch App Config,App API,published,24 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/50b8ac40-c244-4238-a631-466482586e72/en,https://help.branch.io/v1-api/docs/en/updatebranchappconfig,
Get Current Branch App Config,App API,published,24 Feb 2025,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/edabb020-70d5-483c-84b4-45b7a4335db5/en,https://help.branch.io/v1-api/docs/en/getcurrentbrancappconfig,
